Admit Week Date,End of Week Display Date,All Ministries,Alaska,NorCal,Oregon,Puget Sound,SoCal,Texas/NM,WA/MT
12/31/2017,1/6/2018,116661,4171,10160,29348,22181,28940,4664,17197
1/7/2018,1/13/2018,131198,4351,11206,35497,24924,30474,5069,19677
1/14/2018,1/20/2018,131382,4467,10085,37578,24304,30397,4876,19675
1/21/2018,1/27/2018,130872,4347,10449,36740,24295,29118,5112,20811
1/28/2018,2/3/2018,133769,4615,12048,34609,24187,32468,5718,20124
2/4/2018,2/10/2018,134159,4741,11611,34410,25394,32574,5555,19874
2/11/2018,2/17/2018,126462,4513,10638,34017,23384,29855,5210,18845
2/18/2018,2/24/2018,119658,4321,9661,31511,20443,28940,4794,19988
2/25/2018,3/3/2018,136903,4903,11587,36903,25698,32012,5497,20303
3/4/2018,3/10/2018,135249,4719,11511,35569,25777,31881,5353,20439
3/11/2018,3/17/2018,128061,4425,10662,35504,23783,30193,4345,19149
3/18/2018,3/24/2018,132605,4452,10504,38483,24255,29337,4911,20663
3/25/2018,3/31/2018,123068,4316,10145,33153,23345,28024,4676,19409
4/1/2018,4/7/2018,134428,5140,12042,34593,25335,32167,5911,19240
4/8/2018,4/14/2018,126714,4573,10733,34001,22992,29667,5041,19707
4/15/2018,4/21/2018,130577,4498,10225,37881,23966,29611,4859,19537
4/22/2018,4/28/2018,130162,4308,10307,36296,23992,29174,4714,21371
4/29/2018,5/5/2018,136005,4811,11955,34866,25679,32255,5645,20794
5/6/2018,5/12/2018,129182,4544,10950,34210,24487,29972,5164,19855
5/13/2018,5/19/2018,129678,4394,10527,36212,24338,29167,4898,20142
5/20/2018,5/26/2018,130457,4550,10217,36712,24244,28595,4585,21554
5/27/2018,6/2/2018,115907,4076,9841,30399,21467,27710,4319,18095
6/3/2018,6/9/2018,133267,4840,11205,34438,25840,30920,5329,20695
6/10/2018,6/16/2018,125773,4475,10366,33354,23741,29025,5069,19743
6/17/2018,6/23/2018,129181,4429,9927,36544,24247,28772,4813,20449
6/24/2018,6/30/2018,124775,4242,9976,34354,23148,28062,4556,20437
7/1/2018,7/7/2018,115381,4245,10523,27763,22069,28587,4903,17291
7/8/2018,7/14/2018,127047,4494,10737,33080,24318,29604,4982,19832
7/15/2018,7/21/2018,129398,4348,10034,36273,24197,29548,4721,20277
7/22/2018,7/28/2018,125744,4161,9675,34349,23655,28487,4490,20927
7/29/2018,8/4/2018,130107,4882,11150,33068,24720,30995,5374,19918
8/5/2018,8/11/2018,126144,4571,10360,33054,24762,29179,4974,19244
8/12/2018,8/18/2018,125297,4434,10102,34391,23213,28954,4912,19291
8/19/2018,8/25/2018,127441,4349,10186,35512,23447,28769,4897,20281
8/26/2018,9/1/2018,124233,4350,9827,34098,22826,28615,4952,19565
9/2/2018,9/8/2018,121642,4657,10764,29170,23357,29675,5464,18555
9/9/2018,9/15/2018,128036,4530,10704,33561,24294,29820,5268,19859
9/16/2018,9/22/2018,132212,4521,10259,37965,24397,29622,5058,20390
9/23/2018,9/29/2018,129719,4383,10297,36277,23968,28747,4772,21275
9/30/2018,10/6/2018,136487,4882,11995,34721,26049,32237,5990,20613
10/7/2018,10/13/2018,126338,4459,10454,33641,24092,28653,5193,19846
10/14/2018,10/20/2018,130976,4281,10299,38013,24272,29183,4854,20074
10/21/2018,10/27/2018,130079,4297,10074,36519,24122,28747,4875,21445
10/28/2018,11/3/2018,132123,4510,11263,35098,24545,30946,5451,20310
11/4/2018,11/10/2018,131548,4774,10873,34374,25085,30444,5511,20487
11/11/2018,11/17/2018,125342,4473,10452,31260,24339,29633,5126,20059
11/18/2018,11/24/2018,99738,3492,7516,26297,19369,23319,3773,15972
11/25/2018,12/1/2018,131217,4153,10496,34360,24766,30423,5162,21857
12/2/2018,12/8/2018,134184,5083,12086,31684,26396,31831,5938,21166
12/9/2018,12/15/2018,125768,4531,10628,30762,24509,29779,5375,20184
12/16/2018,12/22/2018,130027,4244,10103,34200,24678,30191,5297,21314
12/23/2018,12/29/2018,94452,3376,7410,23410,18321,22952,3481,15502
12/30/2018,1/5/2019,110387,4216,9923,25593,21621,26744,4634,17656
1/6/2019,1/12/2019,130525,4372,11172,31650,26067,30952,5395,20917
1/13/2019,1/19/2019,127190,4424,10605,32794,24780,29281,5207,20099
1/20/2019,1/26/2019,127388,4253,10059,32896,24580,29321,5113,21166
1/27/2019,2/2/2019,129547,4705,11342,31424,24221,31100,5831,20924
2/3/2019,2/9/2019,124850,4969,11887,28611,21849,31621,6350,19563
2/10/2019,2/16/2019,115779,4657,10736,28445,19143,30046,5362,17390
2/17/2019,2/23/2019,127127,4495,10068,34815,22012,30041,5292,20404
2/24/2019,3/2/2019,128892,4632,11409,30169,25311,32458,5428,19485
3/3/2019,3/9/2019,134090,5003,11992,31569,26068,32908,5674,20876
3/10/2019,3/16/2019,126659,4377,11044,31051,24631,30927,4671,19958
3/17/2019,3/23/2019,133788,4348,10485,35340,25603,31216,5244,21552
3/24/2019,3/30/2019,125691,4360,10313,30673,24431,29936,5192,20786
3/31/2019,4/6/2019,134847,5020,13098,31386,25364,33599,6183,20197
4/7/2019,4/13/2019,125641,4495,11026,30848,23870,29970,5283,20149
4/14/2019,4/20/2019,128273,4313,10565,34064,24806,29111,5144,20270
4/21/2019,4/27/2019,128214,4504,10316,33444,24396,29141,4990,21423
4/28/2019,5/4/2019,132890,4947,12283,31675,25203,32264,5628,20890
5/5/2019,5/11/2019,128236,4586,11473,30893,25175,30219,5243,20647
5/12/2019,5/18/2019,127589,4614,10619,32743,24468,29598,5271,20276
5/19/2019,5/25/2019,128463,4354,10549,33957,24674,28723,4845,21361
5/26/2019,6/1/2019,112917,4139,9365,28954,21081,26410,4481,18487
6/2/2019,6/8/2019,130495,4992,12480,31625,22421,32200,5613,21164
6/9/2019,6/15/2019,121287,4487,10793,30318,22116,28694,5071,19808
6/16/2019,6/22/2019,127818,4312,10266,33779,26093,28746,4783,19839
6/23/2019,6/29/2019,127056,4421,9966,32535,26120,28483,4735,20796
6/30/2019,7/6/2019,111397,4364,10351,25320,21368,28017,4857,17120
7/7/2019,7/13/2019,128137,4806,10722,31364,25997,30126,5263,19859
7/14/2019,7/20/2019,128034,4573,10079,33738,25793,29489,5039,19323
7/21/2019,7/27/2019,128338,4418,10112,32624,26676,29120,4773,20615
7/28/2019,8/3/2019,127416,4784,11178,31019,25226,31111,5228,18870
8/4/2019,8/10/2019,126436,4690,11179,30533,25809,30342,5405,18478
8/11/2019,8/17/2019,121932,4532,10521,30169,25070,28349,4999,18292
